domain,engine,runs,prec_acts,rec_acts,f1_acts,prec_objs,rec_objs,f1_objs
0.0,2.0,152.0,0.6048,0.7314,0.6259,0.1998,0.323,0.2291
1.0,2.0,114.0,0.1834,0.2818,0.2062,0.0878,0.3523,0.1259
2.0,2.0,148.0,0.1125,0.2517,0.1495,0.0447,0.2744,0.0733
0.0,3.0,152.0,0.623,0.6663,0.6068,0.1479,0.2594,0.1791
1.0,3.0,114.0,0.1499,0.168,0.1468,0.0245,0.1814,0.0413
2.0,3.0,148.0,0.0721,0.1503,0.089,0.0127,0.1539,0.0227
0.0,1.0,152.0,0.8101,0.7346,0.758,0.2647,0.4412,0.3175
1.0,1.0,114.0,0.3564,0.4216,0.3557,0.1678,0.4466,0.2216
2.0,1.0,148.0,0.1958,0.315,0.2241,0.0917,0.4374,0.1379
0.0,0.0,152.0,0.845,0.8955,0.8632,0.1986,0.296,0.229
1.0,0.0,114.0,0.5737,0.6326,0.5814,0.2521,0.4094,0.2963
2.0,0.0,148.0,0.4036,0.5221,0.4336,0.1655,0.4806,0.2225
